distance_to_target,target_speed,target_heading,target_height,other_ship_priority,num_weapons,nearby_ship_health,my_ship_health,num_targets,cond_bits,p_val
365.0,291.0,16.0,1599.0,7.0,10.0,78.0,4.0,15.0,223152.0,0.0
744.0,890.0,125.0,133.0,8.0,10.0,41.0,2.0,28.0,191602.0,0.0
466.0,1387.0,128.0,796.0,2.0,29.0,25.0,1.0,13.0,201513.0,0.0
502.0,380.0,61.0,460.0,1.0,91.0,23.0,3.0,8.0,181575.0,0.0
783.0,1328.0,86.0,1160.0,2.0,6.0,31.0,1.0,20.0,17014.0,0.0
731.0,481.0,176.0,123.0,6.0,76.0,68.0,4.0,4.0,86899.0,0.0
336.0,1138.0,35.0,266.0,6.0,55.0,14.0,2.0,6.0,199329.0,0.0
997.0,459.0,90.0,1206.0,2.0,63.0,3.0,1.0,15.0,173341.0,0.0
918.0,1298.0,24.0,868.0,8.0,7.0,55.0,4.0,2.0,126315.0,0.0
150.0,1027.0,90.0,824.0,3.0,74.0,43.0,0.0,25.0,204590.0,0.0
262.0,804.0,56.0,344.0,5.0,60.0,26.0,4.0,16.0,63879.0,0.0
863.0,1122.0,29.0,918.0,2.0,41.0,54.0,1.0,28.0,93182.0,0.0
511.0,354.0,100.0,830.0,2.0,13.0,42.0,4.0,4.0,238544.0,0.0
684.0,1019.0,25.0,937.0,5.0,9.0,78.0,2.0,7.0,237748.0,0.0
418.0,1282.0,17.0,1047.0,0.0,5.0,47.0,4.0,30.0,108383.0,0.0
144.0,342.0,103.0,790.0,2.0,4.0,37.0,4.0,8.0,211047.0,0.0
518.0,453.0,81.0,1786.0,0.0,47.0,2.0,0.0,8.0,3081.0,0.0
713.0,198.0,95.0,1969.0,2.0,3.0,12.0,4.0,4.0,139091.0,0.0
916.0,1279.0,8.0,313.0,4.0,42.0,28.0,1.0,23.0,165551.0,0.0
208.0,67.0,95.0,832.0,8.0,2.0,8.0,2.0,4.0,232065.0,0.0
589.0,1289.0,138.0,510.0,6.0,1.0,3.0,0.0,21.0,246558.0,0.0
930.0,460.0,19.0,1556.0,8.0,27.0,1.0,2.0,17.0,79023.0,0.0
599.0,517.0,178.0,499.0,5.0,58.0,55.0,0.0,12.0,243419.0,0.0
620.0,841.0,103.0,349.0,6.0,59.0,1.0,1.0,9.0,125493.0,0.0
24.0,1047.0,46.0,504.0,4.0,9.0,55.0,2.0,28.0,96596.0,0.0
662.0,976.0,105.0,388.0,1.0,25.0,30.0,2.0,4.0,91503.0,0.0
883.0,956.0,86.0,1004.0,5.0,64.0,83.0,0.0,9.0,45181.0,0.0
131.0,873.0,23.0,540.0,3.0,15.0,36.0,0.0,22.0,239939.0,0.0
862.0,959.0,146.0,1614.0,3.0,44.0,41.0,4.0,30.0,2265.0,0.0
775.0,557.0,120.0,1114.0,8.0,12.0,10.0,4.0,12.0,26418.0,0.0
391.0,1051.0,105.0,230.0,3.0,46.0,28.0,1.0,22.0,53664.0,0.0
166.0,584.0,32.0,1902.0,0.0,83.0,10.0,0.0,24.0,242688.0,0.0
86.0,342.0,19.0,250.0,0.0,11.0,90.0,2.0,18.0,199473.0,0.0
393.0,1358.0,111.0,1340.0,7.0,67.0,2.0,2.0,6.0,90600.0,0.0
899.0,888.0,94.0,1101.0,0.0,69.0,19.0,2.0,8.0,234171.0,0.0
277.0,734.0,15.0,566.0,5.0,18.0,47.0,2.0,30.0,134105.0,0.0
282.0,1234.0,138.0,34.0,4.0,92.0,0.0,3.0,26.0,77805.0,0.0
319.0,431.0,115.0,1442.0,0.0,15.0,55.0,0.0,18.0,18158.0,0.0
942.0,1140.0,33.0,701.0,4.0,89.0,17.0,2.0,0.0,193651.0,0.0
534.0,548.0,116.0,1790.0,1.0,86.0,56.0,2.0,30.0,200156.0,0.0
807.0,141.0,73.0,689.0,6.0,45.0,61.0,3.0,4.0,28380.0,0.0
974.0,843.0,14.0,744.0,1.0,2.0,1.0,2.0,3.0,205766.0,0.0
111.0,576.0,112.0,831.0,4.0,94.0,0.0,0.0,19.0,146886.0,0.0
774.0,827.0,67.0,239.0,5.0,84.0,90.0,3.0,10.0,209406.0,0.0
717.0,568.0,49.0,176.0,8.0,3.0,73.0,0.0,26.0,148341.0,0.0
657.0,534.0,70.0,902.0,6.0,49.0,78.0,2.0,0.0,146589.0,0.0
5.0,234.0,159.0,1566.0,7.0,83.0,39.0,1.0,1.0,92283.0,0.0
498.0,543.0,158.0,1375.0,1.0,53.0,67.0,1.0,13.0,161162.0,0.0
66.0,1036.0,22.0,249.0,2.0,20.0,5.0,2.0,27.0,220850.0,0.0
436.0,1355.0,70.0,1394.0,0.0,78.0,63.0,1.0,23.0,96776.0,0.0
984.0,1100.0,75.0,863.0,3.0,5.0,61.0,0.0,20.0,85930.0,0.0
678.0,907.0,28.0,216.0,2.0,42.0,12.0,0.0,15.0,89237.0,0.0
